2025-08-20 08:47:49 |     INFO |             __init__: 293 | SYSTEM_STARTUP: Enhanced Gold Scalper Bot initialized
2025-08-20 08:47:49 |     INFO |     run_scalping_bot: 494 | BOT_STARTUP: Starting enhanced scalping bot
2025-08-20 08:47:49 |     INFO |          connect_mt5: 451 | MT5_CONNECTION_ATTEMPT: Connecting to C:\Program Files\MetaTrader 5\terminal64.exe
2025-08-20 08:47:49 |     INFO |          connect_mt5: 463 | MT5_CONNECTION_SUCCESS: Connected in 0.004s
2025-08-20 08:47:49 |     INFO |          connect_mt5: 471 | MT5_ACCOUNT_INFO: Account 10007320362, Balance: $3000.00, Equity: $3000.00
2025-08-20 08:47:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:47:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:47:49 |     INFO |     run_scalping_bot: 528 | BOT_RUNNING: Main trading loop started
2025-08-20 08:48:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:48:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:48:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:48:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:49:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:49:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:49:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:49:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:50:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:50:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:50:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:50:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:51:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:51:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:51:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:51:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:52:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:52:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:52:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:52:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:53:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:53:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:53:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:53:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:54:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:54:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:54:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:54:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:55:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:55:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:55:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:55:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:56:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:56:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:56:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:56:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:57:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:57:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:57:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:57:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:58:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:58:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:58:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:58:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:59:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:59:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 08:59:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 08:59:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:00:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:00:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:00:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:00:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:01:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:01:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:01:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:01:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:02:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:02:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:02:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:02:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:03:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:03:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:03:49 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:03:49 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
2025-08-20 09:04:19 |     INFO | update_config_from_web: 360 | CONFIG_UPDATE: Configuration updated from web interface
2025-08-20 09:04:19 |    DEBUG |  performance_monitor: 510 | PERF_UPDATE: 0 trades, $0.00 profit
